BirdID,Experiment,Trial,Correct,,,
BfP-YM,Colour reversal,6,N,,,
BfP-YM,Colour reversal,7,N,,,
BfP-YM,Colour reversal,8,N,,,
BfP-YM,Colour reversal,9,Y,,,
BfP-YM,Colour reversal,10,N,,,
BfP-YM,Colour reversal,11,N,,,
BfP-YM,Colour reversal,12,Y,,,
BfP-YM,Colour reversal,13,Y,,,
BfP-YM,Colour reversal,14,Y,,,
BfP-YM,Colour reversal,15,Y,,,
BfP-YM,Colour reversal,16,Y,,,
BfP-YM,Colour reversal,17,N,,,
BfP-YM,Colour reversal,18,Y,,,
BfP-YM,Colour reversal,19,N,,,
BfP-YM,Colour reversal,20,Y,,,
BfP-YM,Colour reversal,21,N,,,
BfP-YM,Colour reversal,22,Y,,,
BfP-YM,Colour reversal,23,Y,,,
BfP-YM,Colour reversal,24,N,,,
BfP-YM,Colour reversal,25,N,,,
BfP-YM,Colour reversal,26,N,,,
BfP-YM,Colour reversal,27,N,,,
BfP-YM,Colour reversal,28,Y,,,
BfP-YM,Colour reversal,29,Y,,,
BfP-YM,Colour reversal,30,N,,,
BfP-YM,Colour reversal,31,N,,,
BfP-YM,Colour reversal,32,Y,,,
BfP-YM,Colour reversal,33,N,,,
BfP-YM,Colour reversal,34,N,,,
BfP-YM,Colour reversal,35,Y,,,
BfP-YM,Colour reversal,36,Y,,,
BfP-YM,Colour reversal,37,Y,,,
BfP-YM,Colour reversal,38,N,,,
BfP-YM,Colour reversal,39,Y,,,
BfP-YM,Colour reversal,40,Y,,,
BfP-YM,Colour reversal,41,Y,,,
BfP-YM,Colour reversal,42,Y,,,
BfP-YM,Colour reversal,43,Y,,,
BfP-YM,Colour reversal,44,Y,,,
BfP-YM,Colour reversal,45,Y,,,
KM-fPG,Colour assoc.,Probe,Y,,,
KM-fPG,Colour assoc.,,N,,,
KM-fPG,Colour assoc.,1,Y,,,
KM-fPG,Colour assoc.,2,N,,,
KM-fPG,Colour assoc.,3,Y,,,
KM-fPG,Colour assoc.,4,Y,,,
KM-fPG,Colour assoc.,5,Y,,,
KM-fPG,Colour assoc.,6,N,,,
KM-fPG,Colour assoc.,7,Y,,,
KM-fPG,Colour assoc.,8,N,,,
KM-fPG,Colour assoc.,9,Y,,,
KM-fPG,Colour assoc.,10,N,,,
KM-fPG,Colour assoc.,11,N,,,
KM-fPG,Colour assoc.,12,Y,,,
KM-fPG,Colour assoc.,13,Y,,,
KM-fPG,Colour assoc.,14,N,,,
KM-fPG,Colour assoc.,15,N,,,
KM-fPG,Colour assoc.,16,Y,,,
KM-fPG,Colour assoc.,17,N,,,
KM-fPG,Colour assoc.,18,Y,,,
KM-fPG,Colour assoc.,19,N,,,
KM-fPG,Colour assoc.,20,Y,,,
KM-fPG,Colour assoc.,21,N,,,
KM-fPG,Colour assoc.,22,Y,,,
KM-fPG,Colour assoc.,23,Y,,,
KM-fPG,Colour assoc.,24,N,,,
KM-fPG,Colour assoc.,25,Y,,,
KM-fPG,Colour assoc.,26,N,,,
KM-fPG,Colour assoc.,27,N,,,
KM-fPG,Colour assoc.,28,Y,,,
KM-fPG,Colour assoc.,29,N,,,
KM-fPG,Colour assoc.,30,Y,,,
KM-fPG,Colour assoc.,31,Y,,,
KM-fPG,Colour assoc.,32,Y,,,
KM-fPG,Colour assoc.,33,Y,,,
KM-fPG,Colour assoc.,34,Y,,,
KM-fPG,Colour assoc.,35,Y,,,
KM-fPG,Colour assoc.,36,N,,,
KM-fPG,Colour assoc.,37,Y,,,
KM-fPG,Colour assoc.,38,Y,,,
KM-fPG,Colour assoc.,39,Y,,,
KM-fPG,Colour assoc.,40,Y,,,
KM-fPG,Colour assoc.,41,Y,,,
KM-fPG,Colour assoc.,42,Y,,,
KM-fPG,Colour reversal,Ignore,N,,,
KM-fPG,Colour reversal,Ignore,Y,,,
KM-fPG,Colour reversal,Ignore,N,,,
KM-fPG,Colour reversal,Probe,N,,,
KM-fPG,Colour reversal,1,N,,,
KM-fPG,Colour reversal,2,Y,,,
KM-fPG,Colour reversal,3,N,,,
KM-fPG,Colour reversal,4,Y,,,
KM-fPG,Colour reversal,5,N,,,
KM-fPG,Colour reversal,6,Y,,,
KM-fPG,Colour reversal,7,N,,,
KM-fPG,Colour reversal,8,Y,,,
KM-fPG,Colour reversal,9,N,,,
KM-fPG,Colour reversal,10,N,,,
KM-fPG,Colour reversal,11,N,,,
KM-fPG,Colour reversal,12,N,,,
KM-fPG,Colour reversal,13,N,,,
KM-fPG,Colour reversal,14,N,,,
KM-fPG,Colour reversal,15,Y,,,
KM-fPG,Colour reversal,16,N,,,
KM-fPG,Colour reversal,17,N,,,
KM-fPG,Colour reversal,18,Y,,,
KM-fPG,Colour reversal,19,Y,,,
KM-fPG,Colour reversal,20,N,,,
KM-fPG,Colour reversal,21,N,,,
KM-fPG,Colour reversal,22,Y,,,
KM-fPG,Colour reversal,23,N,,,
KM-fPG,Colour reversal,24,N,,,
KM-fPG,Colour reversal,25,Y,,,
KM-fPG,Colour reversal,26,N,,,
KM-fPG,Colour reversal,27,Y,,,
KM-fPG,Colour reversal,28,N,,,
KM-fPG,Colour reversal,29,Y,,,
KM-fPG,Colour reversal,30,N,,,
KM-fPG,Colour reversal,31,Y,,,
